;ID;sentimentScore;text
1;8.70E+22;0.5;So. Berichte im #Innenausschuss jetzt fertig. Jetzt beginnen wir mit der Debatte der Gesetzentw<fc>rfe #workworkwork #ltby
2;9.12E+22;0.5;#mitmir90prozent #spd vorm  #Allende-Center. Morgen ist #btw17 #BTW2017 #btw Jetzt nochmal mobilisieren! #Wahl #SPD
3;9.01E+21;-0.5;Parteispitze @dieLinke zwingt Landeschef @DieLinkeBrdburg @Chr_Goerke wg Braunkohle &amp  Klimazielen zum Treueschwur.
4;8.99E+22;-0.5;#b1908 Nachtrag zu Spontanmarsch in #Falkensee:Neonazis aus #Dortmund waren offenbar auch dabei.
5;8.32E+22;0;SPD und CDU einigen sich: Einheitsdenkmal vor dem Stadtschloss #Berlin soll  doch gebaut werden.
6;8.93E+22;0.5;F<e4>llt im neuen Schuljahr noch mehr Unterricht aus? Nein  verspricht Bildungsminister #Tullner im MZ-Interview
7;8.73E+22;0.5;Offene T<fc>r bei @FHPolizeiLSA: Danke an alle jungen Leute  die Verantwortung f<fc>r unser aller Sicherheit <fc>bernehmen
8;8.91E+22;0;Die #Saalfelder #dabantifa ist auch in #Themar dabei  ) #Antifa #the2907
9;8.99E+21;1;Bemerkenswerter #KPV-Landestag: @gordonschnieder mit 100% zum neuen Landesvorsitzenden gew<e4>hlt und mitrei<df>ende Rede von @jensspahn.
10;8.76E+22;0.5;Unsere hessische Umweltministerin @PriskaHinz wirbt f<fc>r das gr<fc>ne Wahlprogramm #BDK17
11;8.24E+22;0.5;Agrarindustrie in der #Pestizid-Sackgasse: @DLGeV-Pr<e4>sident Bartmer hat Zeichen der Zeit erkannt. Jetzt handeln!
12;9.05E+22;-0.5;Das Foxhole-Hostel in #Neuk<f6>lln wird trotz Verbot weiter beworben und betrieben. @derjochen k<fc>ndigt R<e4>umung an. #bvvnk
13;9.14E+22;0.5;Wer meint in der #CDU #Sachsen steht #Tillich mit seiner Meinung allein  der hat #Kupfer noch nicht gelesen.
14;9.13E+22;-0.5;Bei #hartaberfair @DasErste wurde Rolle der Medien vor #BTW17 kritisiert. @DoroBaer @CSU: Es darf nicht nur um Quote ge
15;9.07E+22;-0.5;#Seehofer: Der Familiennachzug muss f<fc>r diejenigen  die nur vor<fc>bergehend Schutz genie<df>en  ausgesetzt bleiben.
