sentimenScore;text
-1;vorsprung durch leckmich  kartell
-1;gefaehrlicher relativismus  linksextremer gewalt von links  agh berlin
-1;gauland will eine deutsche mit tuerkischen wurzeln  die mitglied der bundesregierung ist  entsorgen  das nennt man rassismus 
-1;estland  sicherheitsluecke  fast    cards 
-1;wenn merkel die migranten unbedingt will  kann sie sie doch  ihrem garten unterbringen afd eugh traudichdeutschland
-1;schuesse auf rettungseinsaetze  voelkerrechtswidrige rueckfuehrungen  lebensgefaehrliche manoever auf see 
-1;wieder anschlaege auf zwei politiker  neukoelln  neonazis zuenden autos    
-1; andere nennen  berufsausuebung  missachtung der pressefreiheit und verletzung von rechten 
-1;afd stadtrat eberhard brettopfer brutaler linker gewalt  krankenhaus stuttgart linksextremismus antifa 
-1;studiengebuehren fuer auslaender  baden wuerttemberg  das ist gruene arroganz pur  und das  zeiten rechter hetze  schaemt euch  bauer maut
-1;empoerend  merkel taeuscht zuschauer beim tvduell zum dieselskandal  hier der video beweis  
-1;june tomiak wer hass saet wird gewalt ernten   klares bekenntnis  politischer gewalt durch gruene  agh berlin g20
-1;das wichtigste  kampf gegen die extreme rechte  rassismus und antisemitismus ist die foerderung von demokratie und gelebter antifaschismus 
-1;geplante grundrechtseingriffe der innenminister sind ebenso armselig wie boesartig  
-1;aktivisten   tote nach giftgas anschlag  syrien  syrien giftgas
-1;liu xiaobo ist tot  wir trauern  ein mutigen und standhaften streiter fuer menschenrechte  seine stimme wird fehlen  
-1;ein  jaehriger  amerikanischer tourist ist  sonntagmorgen  der spree ertrunken   
-1;das ist eine unverzeihliche verantwortungslosigkeit  tausende menschenleben sind gefaehrdet  sofort abschalten 
-1;das wird  bayern wellen schlagen  franz josef strau wuerde afd waehlen 
-1;und spdcdu lassen pruefen   stellenanforderung des datenschuetzers gerechtfertigt sind laecherlicher haufen  
-1;berlin neukoelln  buchladen schliet nach drohungen der antifa  
-1;vor  jahren begann die rassistische gewalt  rostock lichtenhagen  sie hat meinen einsatz gegen ausgrenzung  amp  gewalt mageblich gepraegt 
-1;nordkorea verfuegt ueber interkontinentalraketen  die alaska treffen koennte 
-1;verfolgung von schwulen maennern  tschetschenien   das  hat geantwortet   mit  
-1;die gerda hat recht  spd konfus  und straftaeter und gefaehrder muessen weiterhin zurueck nach afghanistan 
