Column1;Column2;Column3;Column4
8;907693547243044864;-1;eben von afd teilnehmern attackiert worden  jena j1209 
11;919610776691888128;-1;iwf kritisiert ungleichheit  vielen staaten fas seite  
17;856849937472126976;-1;streit ueber treffen von netanyahu und gabriel  gespraechsverbote gehen gar nicht  via 
33;907913037327290368;-1;kinderarmut ist ein riesiges problem  deutschland  jedes   kind waechst  armut auf  was die linke dagegen tun    
53;840294916983001088;-1;fehrles fehlende sachkenntnis mag als naivitaet durchgehen  die verstuemmelnde bezugname auf meinen text von  ist journalistisch unserioes 
57;907510969848516608;-1;   gastgewerbe  schlechte loehne  amp  arbeitsbedingungen sind ausdruck verfehlter arbeitsmarktgesetzgebung  
67;825760693114777600;-1;  die braunen waeren mir lieber   
75;892712977262149632;-1;waehrend des dieselgipfels bei twitter ermutigende ideen aus der heimat nrw zur zukunft der mobilitaet 
104;842013834130907136;-1; dann erstatten sie sofort strafanzeige  ich warte gemuetlich  uebrigens  art    lesen erweitert den horizont 
105;875801852654362624;-1;welt chefredakteur  zum tod von helmut kohl     
113;907318204736921600;-1;heute schon gelacht  der linke zensurminister maas mit seinem netzdg findet das afd programm verfassungswidrig 
120;908368568512851968;-1;heute rege ich mich auf  ueber leute  die  fuer waehlbar halten  
140;826513279396806656;-1;rechtsterroristischer anschlag von quebec zeigt   geht  extremismus nicht  religion  
143;852932140874551296;-1;und wer verhindert die unabhaengige untersuchung des giftgasmassenmordes  syrien  russland  keine pointe 
148;874268554358554624;-1;nun ist  offiziell  strafrabatt fuer moslems   asylbewerber moslem islam tschetschenien totschlag mord
153;874241730941419520;###############################################################################################################################################################################################################################################################;interessante veranstaltung mit  zum nsu komplex  pfefferberg       mehr infos unter 
155;880339680260231168;-1;keine sozialwohnungen bauen aber eigenheime foerdern  das ist die saechsische wohnungspolitik  muss sich aendern linke 
171;855319111005372416;-1; paris   stadt der liebe    wieder  ein sinnloser akt des terrors 
176;903209289405394944;-1;antworten auf unsere kleine anfrage  g20 werden verschleppt  warum nur  die  findet deutliche worte 
178;891565143557066752;-1;das kommt  nicht  oft vor  aber  die igmetall recht hat  hat sie recht diesel fahrverbote 
179;863788420056969216;-1;ich druecke der  die daumen davon abgesehen ist das ein klarer rechtsrutsch  nrw ueber die ursachen muessen wir reden 
180;906776475977822208;-1;afd verbreitet rechtsradikale hetze  hat dennoch fast taeglich eine oeffentlich rechtliche buehne  aufstand der anstaendigen faellt aus  gruselig
187;899316019935813632;-1;heimspiel  das ist doch mal was  wir empfangen  der   hauptrunde   den   hahohe 
195;884720109876588544;-1;finde die initiative der imame gut  
214;889886317370380288;-1;sie wollen  gar nicht verhindern  
218;858651906574602240;-1;    verweigern debatte  kohleausstieg  schadet nrw  richtig  
237;901810187870326784;-1;italien bringt fluechtlinge zurueck nach libyen  das ist zynisch   und ganz europa traegt eine mitschuld 
239;858558999645622272;-1;untragbar  xaviernaidoo bedient sich  seinem neuen song marionetten   rhetorik   afd      volksverraeter 
240;876721580382064640;-1;respekt vor den organisatoren  aber die verweigerung groer islamverbaende und der duerftige besuch zeigen ein eindeutiges bild  koeln
241;871772186243215360;-1;neuer tweet der stellv  afd vorsitzenden beatrix von storch  
252;905447220291522560;-1;links  hirnlos und gewalttaetig afd 
254;897752795331407872;-1; echt jetzt oder account gehackt 
273;831854384564797440;-1;kinder sind kinder  keine soldaten  redhandday 
275;900711920763883520;-1;     wird zeit  dass wir aufstehen  fuer revier  unsere zukunft und fuer unsere heimat afd nrwlt 
284;908937574311452672;-1;glyphosat bewertung von monsanto abgeschrieben   stammt nur aus der feder der behoerden  schrieb mir    
285;893064730541215744;-1;statement zum gestrigen dieselgipfel  
299;845303342666567680;-1;keinen fubreit den rassisten und antisemiten  auch nicht  sport 
326;899391733418557440;-1;  stop aller waffenexporte  die tuerkei waere  schon mal was  
329;883227629259829248;-1;brennende autos heute morgen  altona  hamburg g20 g20summit 
337;859123653287579648;-1;   protest gegen  umweltpolitik   marsch fuer das klima lockt zehntausende 
338;883616906502189056;-1;immer mehr bakterien sind gegen antibiotika immun  merkel macht das bei   gipfel zum thema  von  g20 
345;837797837974949888;-1;damit macht  sich erstmalig voll laecherlich  aber  brandgefaehrlich  erdogan nennt deniz yuecel deutschen agenten 
353;916594117563617280;-1;rassisten aus der facebookfreundesliste werfen ist undemokratisch lol  big news  meine freundesliste ist kein parlament 
355;890473755285352448;-1;diese jammerlappen von der   mimimi beim gericht  weil ihnen der inhalt wohl eine spur  wahr ist  
356;842012702901960704;-1;demonstration gegen das g20 finanzministerinnentreffen  baden baden   g20   gegen die armut der    
368;912786443281584128;-1; sprechen verlierer    
369;915314850544410624;-1;wieder mal ein polizei kessel fuer chemiker innen  wirklich verhaeltnismaessig   
372;862195541052203008;-1;ohne worte  
390;918887776564797440;-1;wussten wir alle nicht     
394;839905647512682496;-1;  sind wir grundsaetzlich anderer auffassung  
397;839091004837888000;-1;ungarn setzt fluechtlinge  containerdoerfern fest und missachtet eu richtlinien  
407;831974581716017152;-1;naechste klasche fuer   der niedriglohnminister verzichtet   via  net
409;896077724678107136;-1;wir haben nicht mehr viel zeit den schalter umzulegen    zur klimakrise beim wahlkampfauftakt dessau 
410;828916924176281600;-1;empoerung ueber bundesumweltministerin barbara hendricks  mit einem polemisch gestalteten bauernkalender gegen    
412;827560684292546560;-1;der afd fraktionschef andr poggenburg sorgte mit einer rede voller  begriffe fuer einen eklat  
414;914149933351161856;-1; das mal klar  sagen  wer von einer geheimen weltregierung faselt  ist nur millimeter von der juedischen weltverschwoerung entfernt 
415;887702951703261184;-1; falsch  hab  bisher auch  berlin  technik gemeinsam nutzen  ist plausibel dargestellt worden  
416;870375181948256256;-1;die doppelte staatsbuergerschaft  den kontext innere sicherheit  setzen ist perfide und billig 
417;904431352661073920;-1;das ist doch jetzt auch egal angela merkel ueber innere sicherheit martinmachts tvduell
419;824181876906717184;-1;hartz  empfaenger  arm zum sparen 
