ID;sentimentScore;text
869836168392736768;0.5;So. Berichte im #Innenausschuss jetzt fertig. Jetzt beginnen wir mit der Debatte der Gesetzentwürfe #workworkwork #ltby
911505584243003392;0.5;#mitmir90prozent #spd vorm  #Allende-Center. Morgen ist #btw17 #BTW2017 #btw Jetzt nochmal mobilisieren! #Wahl #SPD 
901410490215170048;-0.5;Parteispitze @dieLinke zwingt Landeschef @DieLinkeBrdburg @Chr_Goerke wg Braunkohle &amp  Klimazielen zum Treueschwur.
899282292883038208;-0.5;#b1908 Nachtrag zu Spontanmarsch in #Falkensee:Neonazis aus #Dortmund waren offenbar auch dabei. 
831506882032500736;0;SPD und CDU einigen sich: Einheitsdenkmal vor dem Stadtschloss #Berlin soll  doch gebaut werden. 
893373955561672704;0.5;Fällt im neuen Schuljahr noch mehr Unterricht aus? Nein  verspricht Bildungsminister #Tullner im MZ-Interview 
873454526912704512;0.5;Offene Tür bei @FHPolizeiLSA: Danke an alle jungen Leute  die Verantwortung für unser aller Sicherheit übernehmen 
891252042454454272;0;Die #Saalfelder #dabantifa ist auch in #Themar dabei  ) #Antifa #the2907 
898869597180317696;1;Bemerkenswerter #KPV-Landestag: @gordonschnieder mit 100% zum neuen Landesvorsitzenden gewählt und mitreißende Rede von @jensspahn.
875821837514665984;0.5;Unsere hessische Umweltministerin @PriskaHinz wirbt für das grüne Wahlprogramm #BDK17 
823582031594590208;0.5;Agrarindustrie in der #Pestizid-Sackgasse: @DLGeV-Präsident Bartmer hat Zeichen der Zeit erkannt. Jetzt handeln! 
905469219810234368;-0.5;Das Foxhole-Hostel in #Neukölln wird trotz Verbot weiter beworben und betrieben. @derjochen kündigt Räumung an. #bvvnk
914407540561268736;0.5;Wer meint in der #CDU #Sachsen steht #Tillich mit seiner Meinung allein  der hat #Kupfer noch nicht gelesen. 
912678965017563136;-0.5;Bei #hartaberfair @DasErste wurde Rolle der Medien vor #BTW17 kritisiert. @DoroBaer @CSU: Es darf nicht nur um Quote ge
907181809103986688;-0.5;#Seehofer: Der Familiennachzug muss für diejenigen  die nur vorübergehend Schutz genießen  ausgesetzt bleiben.
910180128130465792;0.5;Als Abgeordnete verstehe ich mich als Ihre Stimme in Berlin und setze mich mit vollem Einsatz für unsere schöne... 
820534910033268736;0.5;Voller Zugang zum europäischen Markt ist überhaupt kein Problem! Nennt sich EU...#brexit #Hammond @tagesschau  
872914243028385792;0;Bienvenue à Berlin. Der neue französische Innenminister @gerardcollomb zum Antrittsbesuch bei Amtskollege #deMaizière. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00A9><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> 
865235816603418624;1;Herzliche Grüße  viel Glück und Gesundheit! <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> 
852602545033838592;1;sehr schöne Bild-Text-Dokumentation der christlichen Bedeutung der Ostertage: 
912251060911304704;0;Ich will meine rechtsnationale CDU zurück haben!!!!! 
880077663892758528;0.5;Es gibt Lösungsansätze  die realistisch sind + den Menschenrechten gerecht werden#Refugees 
855436551630852096;-0.5;#AfD #Bayern-Chef Petr Bystron wusste sofort  wer den #BVB-Bus gebombt hat. Hat er sich schon bei Lahm entschuldigt? 
830449525894610944;0;Viele Niedersachsen sitzen bei dem heutigen Treffen vor der Bundespräsidentenwahl in der 1. Reihe  auch @althusmann 
837010773415198720;1;Wir machen Deutschland stark anstatt es schlechtzureden! Der Arbeitsmarkt brummt weiter.  
912124965914333184;1;@sven_kindler Glückwunsch  Sven!
835236967260508160;1;Habe ich ebenfalls unterzeichnet! Herzlichen Dank für die Initiative @NielsAnnen und @nouripour 
828518899603869696;0.5;Sehenswert: @TiloJung befragt @SWagenknecht für @JungNaiv 
832927472635232256;0;@DieterSteffmann Die Antwort ahnen Sie wahrscheinlich auch.
863793193132994560;-1;Das Schulzbeben hat die #SPD erschüttert. Es zählt eben doch die Leistung  nicht nur leere Worte. #ltwnrw
843206430639509504;1;@Twidttdi @CDU Deutschland steht so gut da wie noch nie. Schauen Sie sich mal in der Welt um.
890616008003768320;-0.5;Am 2.8. sind Ressourcen erschöpft: #EarthOvershootDay. Jedes Jahr verschiebt sich d. Tag nach vorne. #movethedate! 
854030898467135488;0.5;Wir bauen für bessere #Straßen in #RLP! #Doppelhaushalt #ltrlp Fakten dazu:  CC: @MWVLW_RLP 
899681335954079744;0;Jetzt Ausgraben der Kirmes zum Auftakt zum Einricher #Heimatabend am #Bartholomäusmarkt in #Katzenelnbogen 
817346066681044992;0.5;Danke an die vielen ehrenamtlichen #Sternsinger  die bei der Eiseskälte heute von Haus zu Haus ziehen 
880831758777888768;0;Meine Rede zu den Leitlinien Krisenprävention: #Frieden machen mit ziviler Konfliktbearbeitung 
910496779631841280;0;Ja  das gibt es  dass die Koafraktionen nicht exakt derselben Meinung wie der Senat sind. Wir sind die Legislative. Senat ist die Exekutive.
840708147803222016;-0.5;Bundespräsident Joachim Gauck befürchtet russische Einmischung in Bundestagswahlkampf. 
845283403423461376;-0.5;Debatte dreht sich im Kreis. Standpunkte sind ausgetauscht. @AlbrechtSelge @iGELei
909890905473273856;0;Gut besucht war die Veranstaltung mit dem Film Als Paul über das Meer kam heute abend im Lothar-Bisky-Haus. Der... 
897928340107141120;0.5;#Real zaubert schon wieder. #Asensio #SuperCopa
