;ID;positveSentimentScore;negativeSentimentScore;sentimentScore;text
1;8.16E+22;1;-5;;Garantiert neuer Prüfzyklus für Auto-Abgaswerte das Ende der Schummeleien der Hersteller? Leider nein! #Dieselgate 
2;8.16E+22;1;-5;;Manchmal kann man an seiner eigenen Kirche verzweifeln! #EKD 
3;8.18E+22;1;-5;-1;Wie verzweifelt müssen @Die_Gruenen sein! Keine Themen, keine politische Botschaft mehr. Nur noch #Politikplacebos. 
4;8.18E+22;1;-5;;Wie verzweifelt müssen @Die_Gruenen sein! Keine Themen, keine politische Botschaft mehr. Nur noch #Politikplacebos. 
5;8.18E+22;1;-5;;Um jedem #Attentäter gleich eine weltweite #politische  Dimension zu geben. Ich halte das für völlig falsch! 
6;8.20E+22;1;-5;;Das ist leider keine gute Nachricht für die #Volkspartei @CDU! @SteinbachErika 
7;8.21E+22;1;-5;;„Halt die Klappe, ich hab’ Feierabend.“ Ich lese gerade, dass Schildkröte gestorben ist. Traurig! Wer sitzt dann bei Dittsche und Ingo?
8;8.21E+21;1;-5;;@Dragonhaert67 @spdbt Weil die CDU/CSU und FDP dagegen waren und es 2012, als der Antrag gestellt wurde, dafür keine Mehrheit gab. Leider!
9;8.21E+22;1;-5;;Schon wieder ein Schneider-Buch...<f0><U+009F><U+0098><U+0089> Notfalls streite ich mit @UlrichSchneider persönlich bei dem Thema! @1305SaJo @MBMarcusBrumme
10;8.22E+22;1;-5;;#Höcke #AfD zeigt sich als geistiger Vertreter des fürchterlichen braunen Sumpfs unserer Vergangenheit - deshalb trockenlegen!
11;8.22E+22;1;-5;;#Yolocaust: Selfie-Kultur auf Berliner Mahnmal trifft Geschichte der Vernichtungslager. Erschreckend und stark! 
12;8.22E+22;1;-5;-1;Hass und Hetze haben mit Meinungsfreiheit nichts zu tun! 
13;8.22E+22;1;-5;-1;Die  grausamste Rede , die ich von einem US -Präsidenten gehört habe! Gefährlich!
14;8.22E+22;1;-5;;Die  grausamste Rede , die ich von einem US -Präsidenten gehört habe! Gefährlich!
15;8.23E+22;1;-5;;Die  grausamste Rede , die ich von einem US -Präsidenten gehört habe! Gefährlich!
16;8.23E+22;1;-5;;Die  grausamste Rede , die ich von einem US -Präsidenten gehört habe! Gefährlich!
17;8.23E+22;1;-5;;Die  grausamste Rede , die ich von einem US -Präsidenten gehört habe! Gefährlich!
18;8.23E+22;1;-5;-1;@UdoWolfMdA Sie sind echt der Knaller. Dieser Beitrag ist so niveaulos. Schämen Sie sich!
19;8.24E+22;1;-5;;Brüllend komisch! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @extra3 
20;8.24E+22;1;-5;;Leider war das Max Planck Institut beratungsresistent! 
21;8.24E+22;1;-5;;Horror - so eine Person als Kollegen im Bundestag - gilt nur eins #Gegenhalten ! 
22;8.25E+22;1;-5;;Gut, dass #Höcke nicht dabei er - er ist ja leider nicht mehr lernfähig!
23;8.26E+22;1;-5;-1;@Micha_BILD Was für ein fürchterliches, fürchterliches Chaos. Qualitätsjournalismus anno 2017.
24;8.26E+22;1;-5;;Der Berliner rot-rot-grüne Senat leider nicht! 
25;8.26E+22;1;-5;;Der Berliner rot-rot-grüne Senat leider nicht! 
26;8.27E+22;1;-5;-1;Nein, Herr Erdogan: Islam und Frieden sind leider nicht das Gleiche!#AfD #Türkei #Erdogan
27;8.27E+22;1;-5;;Nein, Herr Erdogan: Islam und Frieden sind leider nicht das Gleiche!#AfD #Türkei #Erdogan
28;8.28E+21;1;-5;;In der Türkei setzt sich Merkel für die Rechte der Opposition ein. In Deutschland leider nicht!#AfD #Türkei /cb 
29;8.29E+22;1;-5;;@Tobias_Schulze oh, die Einladung hab ich auch bekommen. Aber leider, leider habe ich da schon was anderes vor...
30;8.29E+22;1;-5;;Leider geil! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
31;8.29E+22;1;-5;-1;Unsere Berliner Schulen müssen endlich saniert werden - der Senat ist leider hilflos überfordert!#AfD #Berlin
32;8.29E+22;1;-5;-1;Historischer Park wird dem Erdboden gleichgemacht, um weitere Asylunterkunft in Rekordtempo hochzuziehen. Traurig!
33;8.30E+22;1;-5;;Sehr peinlich! 
34;8.30E+22;1;-5;-1;Schulz vergleicht #AfD mit NPD: Dieser Mann verunglimpft Millionen unserer Wähler - er leidet unter Wahnvorstellungen!
35;8.30E+22;1;-5;;Schulbaugeschichte wird geschrieben! #r2g 
36;8.30E+22;1;-5;-1;Hass,Hetze und FakeNews sind ätzend!Dank an @Die_Gruenen Netzfeuerwehr,dass ihr euch kümmert und aufdeckt. 
37;8.31E+22;1;-5;;Als Bürgerin und als Mitglied des Ausschusses ärgert mich die Ignoranz von Piëch gegenüber dem Ausschuss zutiefst!
38;8.31E+22;1;-5;-1;Schlimm solche Banner zu sehen - aber das diese von @fcstpauli  Fans kommen, erschreckt mich doch umso mehr! 
39;8.31E+22;1;-5;;Scheint leider, eine passende Karikatur zu sein!<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
40;8.32E+22;1;-5;;Leider kann ich wegen der Berliner Sitzungswoche nicht teilnehmen - bin aber in Gedanken dabei! 
41;8.32E+22;1;-5;-1;Immer wieder #Pohlmann. Legt dieser Tier+Menschen verachtenden Geflügel-Züchter-Dynastie endlich das Handwerk! @reportmuenchen
42;8.32E+22;1;-5;-1;Das Schlimme ist, dass wir Trump und seinen Leuten alles zutrauen - aber leider nichts Gutes! 
43;8.33E+22;1;-5;-1;Sehr, sehr traurig. Lange Jahre hat man Meyenburg im Glauben gelassen es könnte mit dem Quartier klappen. Wir... 
44;8.34E+22;1;-5;;Leider ist unsere StartUp Night! im BMWi morgen rund um die Luft-und Raumfahrt schon ausgebucht @BMWi_Bund @DroneMastersBER @bdlipresse
45;8.35E+22;1;-5;-1;Wie leider allzuoft: #Vandalismus! 
46;8.36E+22;1;-5;-1;Mit @WilmsVal verlieren @GrueneBundestag eine geschätzte Kollegin der Abteilung #StraightTalk Sehr schade!
47;8.36E+22;1;-5;;Erschreckend! @SZ @BMI_Bund 
48;8.36E+22;1;-5;;Erschreckend! @SZ @BMI_Bund 
49;8.37E+22;1;-5;-1;Fürchterlich- Mein Mitgefühl den Angehörigen! 
50;8.37E+22;1;-5;-1;Islamisten töten eine deutsche Geisel!#AfD #Terror
51;8.37E+22;1;-5;-1;Das @AuswaertigesAmt war einmal ein Haus mit einer klaren Haltung. Das ist dermaßen beschämend, @sigmargabriel! 
52;8.37E+22;1;-5;;#Berlin leidet unter Rot-Rot-Grün! #AfD #R2G
53;8.39E+22;1;-5;-1;@ismail_kupeli Einfach ekelhaft! Natürlich sind wir politische Konkurrenten, aber dieser Menschenfeindlichkeit müssen wir gemeinsam wehren.
54;8.39E+22;1;-5;;@yirmidorttv Einfach ekelhaft! Natürlich sind wir politische Konkurrenten, aber dieser Menschenfeindlichkeit müssen wir gemeinsam wehren.
55;8.39E+22;1;-5;;Gesetzesnovelle - Ach, das #Völkerrecht - #Transparenz und #Offenlegung mit der @cducsubt? Leider nein! 
56;8.39E+22;1;-5;;Leider streikt unser #Plenarticker heute - die IT bemüht sich um eine Lösung! #hbbue #technikdiebegeistert
57;8.39E+22;1;-5;-1;Nordrhein-Westfalen | Anstieg um ¼: Asylbewerber haben als Sexualstraftäter leider nicht viel zu befürchten!<U+27A1><U+FE0F> 
58;8.40E+22;1;-5;;@OlafWedekind Streik auf dem Rücken von Dritten ist leider immer schlecht!
59;8.40E+22;1;-5;;@redaktion42 @victor5679 @FESonline weil es mal eine Zeit gab, in der Hessen vorn das Markenzeichen Hessen's war. Lang ist es her. Leider!
60;8.40E+22;1;-5;-1;Solange zwei Männer eine Frau spontan vergewaltigen können, ist Berlin nicht sicher!#AfD #Ostbahnhof /hm
61;8.40E+22;1;-5;;@mathiasrichel Geschrieben auf der Fahrt ins Saarland! Kollege Maas hat auch einen Account, der aber oft von Mitarbeitern gepflegt wird
62;8.41E+22;1;-5;-1;@d__iliev @Junge_Union Das ist echt widerlich!
63;8.41E+21;1;-5;-1;Sehr traurig: 
64;8.41E+22;1;-5;-1;@ArminLaschet, sie sind einfach nur ein unglaublicher Ignorant, ein respektloser Tweet, erbärmlich, schämen Sie sich! @MartinSchulz @spdbt
65;8.41E+22;1;-5;;@MatthiasMeisner nein, ist ein ganz konkretes, sehr trauriges Beispiel, dass diese Diskussion nur in D theoretisch geführt wird.
66;8.41E+22;1;-5;-1;@Reiner_Ha @AndiScheuer Offensichtlich schützt ein Professorentitel nicht vor ignorant-rassistischem Bockmist? Schämen Sie sich!
67;8.42E+22;1;-5;;@socialhubBT jetzt wird es aber wirklich verzweifelt...
68;8.42E+21;1;-5;;Hass, Diskriminierung, Gewalt nicht hinnehmen! Friedlich Herz und Gesicht zeigen #le1803 Leipziger Appell
69;8.42E+21;1;-5;;@AlexanderDinger @Djeron7 @bene_lux Leider traurig!
