"ID","text","isRetweet","isQuote","positveSentimentScore","negativeSentimentScore","party","twitter.handle","weeksTillElection","ridge5","ridge3","ridge2","enet5","enet3","enet2","lasso5","lasso3","lasso2","sentimentScore"
815572053298442240,"Theory of Mind war letzte Bastion Unterschied Mensch Tier  auch diese jetzt gefallen  Pferde wissen  was du wei<df>t",0,0,2,-1,"SPD","Karl_Lauterbach",37,0.027,0.016,-0.13,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
815598064215977984,"Auf geht s  2017",0,0,2,-1,"SPD","mdb_schmidt",37,0.036,0.056,0.08,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0,5"
815618021494587392,"Ein #frohesneues Jahr 2017 wuenschen wir  Auf das neue Jahr moechten wir gerne mit Ihnen Euch ansto<df>en",1,0,3,-1,"CDU","UweSchummer",37,0.63,0.689,0.725,0.512,0.541,0.43,0.526,0.426,0.212,"1"
815860640078303232,"Mein erster Tag beim @tagesspiegel yeah  Danke an @ichgruessesie fuer die freundliche Begrue<df>ung  Und jetzt  los geht s",1,0,4,-1,"GRUENE","NotkerBerlin",37,0.675,0.769,0.832,0.827,1.042,1.232,0.795,1.028,1.207,"1"
816362443492433920,"Hoffen wir  dass auch hier gilt  Was lange waehrt  wird gut",0,1,2,-1,"CDU","TinoSorge",37,0.322,0.535,0.576,0.463,0.665,0.776,0.469,0.696,0.795,"0,5"
816374390996635648,"Die Argumente  mit denen Minister Schmidt sein Nichtstun zu rechtfertigen versucht  werden immer abenteuerlicher",0,0,1,-1,"GRUENE","FOstendorff",37,-0.354,-0.702,-0.735,-0.094,-0.336,-0.48,-0.076,-0.303,-0.405,"-0.5"
816652070644314112,"Stolz  Das neue Jahr ist auch das Jahr der #GHE2017 #Essen  Guter Artikel dazu @ZDFheute  #EGC2017 @GreenCapital17",0,0,4,-1,"GRUENE","KaiGehring",37,0.787,0.823,0.885,1.096,1.309,1.527,1.074,1.285,1.453,"1"
816689040179265536,"Pressemitteilung der Bundesanwaltschaft",1,0,1,-1,"SPD","HeikoMaas",37,0.018,0.024,0.06,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
817014092187713536,"Danke @jan vanaken",0,1,3,-1,"SPD","ThomasHitschler",37,0.169,0.199,0.228,0.533,0.63,0.628,0.528,0.608,0.613,"1"
817026477967470592,"Herzlichen Glueckwunsch  lieber Frank Walter #Steinmeier",0,1,2,-1,"SPD","baerbelbas",37,0.466,0.527,0.624,0.904,0.881,1.1,0.904,0.883,0.958,"1"
817342220391116800,"Wo sind die Papiere  Weise spricht von doppeltem Spiel der Fluechtlinge",1,0,1,-1,"CSU","hahnflo",37,-0.147,-0.205,-0.226,-0.027,-0.08,-0.159,-0.032,-0.054,-0.134,"-0,5"
